ACE-Step-1.5	2	6	0	0	0	0	0	0	0	4	0	0	1	0	0	1
EXOCORTEX	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
INTEGRATION_GUIDES	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SuperInstance-papers	15	40	0	0	0	0	0	0	27	10	0	0	0	0	0	3
base60-lattice	1	4	0	0	0	0	0	0	2	2	0	0	0	0	0	0
cns-bridge	2	14	0	6	0	0	0	0	0	0	0	0	0	0	0	8
cocapn-dashboard	2	6	0	2	0	0	0	0	0	0	0	0	4	0	0	0
collective-unconscious	1	4	0	3	0	0	0	0	0	0	0	0	0	0	0	1
compaction-teacher	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
confidence-cascade	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
covers	1	4	0	0	0	0	0	0	0	1	0	0	1	0	0	2
dual-band-guard	2	5	0	2	0	0	0	0	0	0	0	0	0	0	1	2
elephant	3	4	0	2	0	0	0	0	0	0	2	0	0	0	0	0
emergence-engine	1	6	0	0	0	0	0	0	0	0	0	0	0	0	2	4
fleet-connections	3	28	0	11	12	0	0	0	0	0	0	0	2	0	3	0
fleet-dashboard	1	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0
fleet-envelope	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
fleet-inventory	5	30	0	8	8	0	1	0	7	3	1	0	2	0	0	0
fleet-jepa-midi	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
fleet-memory	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
fleet-radio	2	9	0	0	0	0	0	0	0	3	0	0	3	0	0	3
fleet-wiki	2	14	0	0	0	0	0	0	0	0	0	0	12	0	0	2
forgemaster	27	36	0	0	0	0	0	0	0	1	0	0	0	0	0	35
gossip-ping	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hermes-cloudflare	1	7	0	5	0	0	0	0	0	0	0	0	0	0	0	2
hermes-nmi	1	11	0	5	0	0	0	0	0	0	0	0	2	0	0	4
hermes-perception	1	19	0	18	0	0	0	0	0	0	0	0	0	0	0	1
hermes-reader	1	12	0	5	0	0	0	0	0	0	0	0	3	0	0	4
luciddreamer-ai	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
luciddreamer-prototype	34	115	0	2	2	0	0	0	0	102	6	0	1	0	0	2
luciddreamer-research	4	15	0	2	2	0	0	0	0	4	6	0	1	0	0	0
lucineer-brain	2	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
lucineer-creative	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
lucineer-memory	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
lucineer-roblox	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
lucineer-system	26	69	0	0	0	0	22	20	0	10	15	2	0	0	0	0
lucineer-vector	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
lucineer-worker	3	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
mud-arena	6	16	0	0	0	0	0	0	0	0	16	0	0	0	0	0
mud-engine	1	4	0	2	0	0	0	0	0	0	0	0	2	0	0	0
mud2scummvm	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
officers-quarters	4	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0
plainsong	10	16	0	0	0	0	0	0	0	16	0	0	0	0	0	0
plato-portal	13	161	0	13	13	14	12	12	6	14	29	14	0	0	7	27
plato-vision-jepa	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
platonic-creative-suite	1	6	0	0	0	0	0	0	2	2	0	0	1	0	0	1
platos-shell-ide	1	8	0	2	2	0	0	0	0	0	0	0	2	0	1	1
platos-shell	3	11	0	3	5	0	0	0	0	1	0	0	1	0	0	1
roblox-beatclock	4	16	0	0	0	0	0	0	1	13	0	0	2	0	0	0
roblox-bond-system	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
roblox-filtergate	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
room-render	1	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0
screen-agent	1	6	0	3	0	0	0	0	0	0	0	0	0	0	1	2
scummvm-arcade	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0
scummvm-gui-design	2	5	0	0	0	0	0	3	0	0	1	0	1	0	0	0
scummvm-prototype	3	6	0	1	2	0	0	0	0	0	0	0	0	0	0	3
si-main	18	243	0	21	22	15	16	16	11	19	32	14	16	2	13	46
si-readme	20	253	0	21	22	22	16	16	11	19	32	17	16	2	13	46
silence-map	1	6	0	2	0	0	0	0	0	1	0	0	1	0	0	2
spatial-registry	1	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0
stigmergy	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
study-constraint-papers	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	8
study-fleet-yaw	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
study-flux-lucid	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
